signal,time,value,element_index
replay_left_torque_filelog,2.03,2.21070213276587,1
replay_left_torque_filelog,2.04,2.3835733797753,1
replay_left_torque_filelog,2.05,2.80395893040158,1
replay_left_torque_filelog,2.06,2.49842859495628,1
replay_left_torque_filelog,2.07,2.53466131521225,1
replay_left_torque_filelog,2.08,2.43488613961475,1
replay_left_torque_filelog,2.09,2.65074397133347,1
replay_left_torque_filelog,2.1,2.92285215520111,1
replay_left_torque_filelog,2.11,2.86375241757611,1
replay_left_torque_filelog,2.12,3.05344227794843,1
replay_left_torque_filelog,2.13,2.83263384167674,1
replay_left_torque_filelog,2.14,2.94321113676184,1
replay_left_torque_filelog,2.15,2.96363807897335,1
replay_left_torque_filelog,2.16,2.9853732505617,1
replay_left_torque_filelog,2.17,2.75331882213712,1
replay_left_torque_filelog,2.18,2.75640328359532,1
replay_left_torque_filelog,2.19,2.86414862482086,1
replay_left_torque_filelog,2.2,2.7685519442128,1
replay_left_torque_filelog,2.21,2.67697256676897,1
replay_left_torque_filelog,2.22,2.58842804573255,1
replay_left_torque_filelog,2.23,2.50082769892395,1
replay_left_torque_filelog,2.24,2.41633309875434,1
replay_left_torque_filelog,2.25,2.59004529009591,1
replay_left_torque_filelog,2.26,2.30973475217254,1
replay_left_torque_filelog,2.27,2.56969903225568,1
replay_left_torque_filelog,2.28,2.26880720662925,1
replay_left_torque_filelog,2.29,2.28440467004125,1
replay_left_torque_filelog,2.3,2.37007466765072,1
replay_left_torque_filelog,2.31,2.29486399792117,1
replay_left_torque_filelog,2.32,2.15804398489872,1
replay_left_torque_filelog,2.33,2.12423177845194,1
replay_left_torque_filelog,2.34,2.07621413166153,1
replay_left_torque_filelog,2.35,2.14998291747069,1
replay_left_torque_filelog,2.36,2.15780662279007,1
replay_left_torque_filelog,2.37,2.24621450557237,1
replay_left_torque_filelog,2.38,2.13499878403608,1
replay_left_torque_filelog,2.39,2.15700935990222,1
replay_left_torque_filelog,2.4,2.17453577516348,1
replay_left_torque_filelog,2.41,2.16842313775039,1
replay_left_torque_filelog,2.42,2.1536886923797,1
replay_left_torque_filelog,2.43,2.13390386526189,1
replay_left_torque_filelog,2.44,2.11889349688443,1
replay_left_torque_filelog,2.45,2.11075543070292,1
replay_left_torque_filelog,2.46,2.108997797978,1
replay_left_torque_filelog,2.47,2.11062395063183,1
replay_left_torque_filelog,2.48,2.1147491332808,1
replay_left_torque_filelog,2.49,2.12071056348871,1
replay_left_torque_filelog,2.5,2.12628547895595,1
replay_left_torque_filelog,2.51,2.13068699088845,1
replay_left_torque_filelog,2.52,2.13279553900287,1
replay_left_torque_filelog,2.53,2.12976971688827,1
replay_left_torque_filelog,2.54,2.12154947134536,1
