time,BusIn_1_LeftShoulderMotorActuralPosition,BusIn_1_LeftShoulderMotorActuralVelocity,BusIn_1_LeftShoulderMotorActuralTorque,BusIn_1_LeftShoulderMotorDCLinkCircuitVoltage,BusIn_1_RightShoulderMotorActuralPosition,BusIn_1_RightShoulderMotorActuralVelocity,BusIn_1_RightShoulderMotorActuralTorque,BusIn_1_RightShoulderMotorDCLinkCircuitVoltage,BusIn_1_LeftHipMotorActuralPosition,BusIn_1_LeftHipMotorActuralVelocity,BusIn_1_LeftHipMotorActuralTorque,BusIn_1_LeftHipMotorDCLinkCircuitVoltage,BusIn_1_RightHipMotorActuralPosition,BusIn_1_RightHipMotorActuralVelocity,BusIn_1_RightHipMotorActuralTorque,BusIn_1_RightHipMotorDCLinkCircuitVoltage,BusIn_1_LeftShoulderMotorSensorADCh1,BusIn_1_LeftShoulderMotorSensorADCh2,BusIn_1_LeftShoulderMotorSensorIMUq0,BusIn_1_LeftShoulderMotorSensorIMUq1,BusIn_1_LeftShoulderMotorSensorIMUq2,BusIn_1_LeftShoulderMotorSensorIMUq3,BusIn_1_RightShoulderMotorSensorADCh1,BusIn_1_RightShoulderMotorSensorADCh2,BusIn_1_RightShoulderMotorSensorIMUq0,BusIn_1_RightShoulderMotorSensorIMUq1,BusIn_1_RightShoulderMotorSensorIMUq2,BusIn_1_RightShoulderMotorSensorIMUq3,BusIn_1_LeftHipMotorSensorADCh1,BusIn_1_LeftHipMotorSensorADCh2,BusIn_1_LeftHipMotorSensorIMUq0,BusIn_1_LeftHipMotorSensorIMUq1,BusIn_1_LeftHipMotorSensorIMUq2,BusIn_1_LeftHipMotorSensorIMUq3,BusIn_1_RightHipMotorSensorADCh1,BusIn_1_RightHipMotorSensorADCh2,BusIn_1_RightHipMotorSensorIMUq0,BusIn_1_RightHipMotorSensorIMUq1,BusIn_1_RightHipMotorSensorIMUq2,BusIn_1_RightHipMotorSensorIMUq3,BusIn_1_WaistSensorADCh1,BusIn_1_WaistSensorADCh2,BusIn_1_WaistSensorIMUq0,BusIn_1_WaistSensorIMUq1,BusIn_1_WaistSensorIMUq2,BusIn_1_WaistSensorIMUq3,BusIn_1_LeftHipSensorADCh1,BusIn_1_LeftHipSensorADCh2,BusIn_1_LeftHipSensorIMUq0,BusIn_1_LeftHipSensorIMUq1,BusIn_1_LeftHipSensorIMUq2,BusIn_1_LeftHipSensorIMUq3,BusIn_1_RightHipSensorADCh1,BusIn_1_RightHipSensorADCh2,BusIn_1_RightHipSensorIMUq0,BusIn_1_RightHipSensorIMUq1,BusIn_1_RightHipSensorIMUq2,BusIn_1_RightHipSensorIMUq3
17.506,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0848400000118588,24699,-2.0244140625,0,-0.0848400000118588,24931,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.126749222865004,NaN,0,0,0,0,0.681115021375278,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.507,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0424200000059294,24699,-2.0244140625,0,-0.113120000015812,24906,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.0310141686160632,NaN,0,0,0,0,0.548083185575187,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.508,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0848400000118588,24673,-2.0244140625,0,-0.113120000015812,24880,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.233254470716951,NaN,0,0,0,0,0.7045501648633,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.509,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0565600000079058,24699,-2.0244140625,0,-0.127260000017788,24906,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.180001846790977,NaN,0,0,0,0,0.7045501648633,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.51,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0848400000118588,24699,-2.0244140625,0,-0.127260000017788,24931,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.0660172978258322,NaN,0,0,0,0,0.50410489502958,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.511,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0565600000079058,24699,-2.0244140625,0,-0.0989800000138352,24906,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.197952169462654,NaN,0,0,0,0,0.678422472974526,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.512,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0707000000098823,24699,-2.0244140625,0,-0.0989800000138352,24931,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.21739835235697,NaN,0,0,0,0,0.678422472974526,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.513,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0565600000079058,24699,-2.0244140625,0,-0.155540000021741,24906,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.0864607208685748,NaN,0,0,0,0,0.515972052795855,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.514,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0989800000138352,24673,-2.0244140625,0,-0.169680000023718,24931,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.194561552958004,NaN,0,0,0,0,0.513778124469316,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.515,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0848400000118588,24673,-2.0244140625,0,-0.113120000015812,24880,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.176012886197272,NaN,0,0,0,0,0.513778124469316,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
