Name,BlockType,Parent,Parameter,Sources,Destinations,Path
TBaseDefault,Constant,TestStructure/InterForceControlTask/DMP,"Value=2.2",,TestStructure/InterForceControlTask/DMP/Phase_shifter; TestStructure/InterForceControlTask/DMP/Subsystem,TestStructure/InterForceControlTask/DMP/TBaseDefault
alpha_x1,Constant,TestStructure/InterForceControlTask/DMP,"Value=1.0",,TestStructure/InterForceControlTask/DMP/MATLAB Function6; TestStructure/InterForceControlTask/DMP/MATLAB Function8,TestStructure/InterForceControlTask/DMP/alpha_x1
alpha_z1,Constant,TestStructure/InterForceControlTask/DMP,"Value=25.0",,TestStructure/InterForceControlTask/DMP/MATLAB Function6; TestStructure/InterForceControlTask/DMP/MATLAB Function8,TestStructure/InterForceControlTask/DMP/alpha_z1
Memory1,Memory,TestStructure/InterForceControlTask/DMP/cuur_params1,"InitialCondition=1",TestStructure/InterForceControlTask/DMP/cuur_params1/Switch,TestStructure/InterForceControlTask/DMP/cuur_params1/Switch; TestStructure/InterForceControlTask/DMP/cuur_params1/Switch8; TestStructure/InterForceControlTask/DMP/cuur_params1/weights_out,TestStructure/InterForceControlTask/DMP/cuur_params1/Memory1
Memory2,Memory,TestStructure/InterForceControlTask/DMP/cuur_params1,"InitialCondition=1",TestStructure/InterForceControlTask/DMP/cuur_params1/Switch1,TestStructure/InterForceControlTask/DMP/cuur_params1/Switch1; TestStructure/InterForceControlTask/DMP/cuur_params1/Switch9; TestStructure/InterForceControlTask/DMP/cuur_params1/centers_out,TestStructure/InterForceControlTask/DMP/cuur_params1/Memory2
Memory3,Memory,TestStructure/InterForceControlTask/DMP/cuur_params1,"InitialCondition=0",TestStructure/InterForceControlTask/DMP/cuur_params1/Switch4,TestStructure/InterForceControlTask/DMP/cuur_params1/Switch12; TestStructure/InterForceControlTask/DMP/cuur_params1/Switch4; TestStructure/InterForceControlTask/DMP/cuur_params1/v0_out,TestStructure/InterForceControlTask/DMP/cuur_params1/Memory3
Memory4,Memory,TestStructure/InterForceControlTask/DMP/cuur_params1,"InitialCondition=1",TestStructure/InterForceControlTask/DMP/cuur_params1/Switch2,TestStructure/InterForceControlTask/DMP/cuur_params1/Switch10; TestStructure/InterForceControlTask/DMP/cuur_params1/Switch2; TestStructure/InterForceControlTask/DMP/cuur_params1/widths_out,TestStructure/InterForceControlTask/DMP/cuur_params1/Memory4
Memory5,Memory,TestStructure/InterForceControlTask/DMP/cuur_params1,"InitialCondition=0",TestStructure/InterForceControlTask/DMP/cuur_params1/Switch3,TestStructure/InterForceControlTask/DMP/cuur_params1/Switch11; TestStructure/InterForceControlTask/DMP/cuur_params1/Switch3; TestStructure/InterForceControlTask/DMP/cuur_params1/y0_out,TestStructure/InterForceControlTask/DMP/cuur_params1/Memory5
Memory6,Memory,TestStructure/InterForceControlTask/DMP/cuur_params1,"InitialCondition=0",TestStructure/InterForceControlTask/DMP/cuur_params1/Switch5,TestStructure/InterForceControlTask/DMP/cuur_params1/Switch13; TestStructure/InterForceControlTask/DMP/cuur_params1/Switch5; TestStructure/InterForceControlTask/DMP/cuur_params1/goal_out,TestStructure/InterForceControlTask/DMP/cuur_params1/Memory6
Memory7,Memory,TestStructure/InterForceControlTask/DMP/cuur_params1,"InitialCondition=1",TestStructure/InterForceControlTask/DMP/cuur_params1/Switch6,TestStructure/InterForceControlTask/DMP/cuur_params1/A_demo_out; TestStructure/InterForceControlTask/DMP/cuur_params1/Switch14; TestStructure/InterForceControlTask/DMP/cuur_params1/Switch6,TestStructure/InterForceControlTask/DMP/cuur_params1/Memory7
